ID,delta15N,delta13C
N1A1,NA,NA
N1A2,8.94956,-24.69454
N2A1,8.36821,-25.33302
N2A2,NA,NA
N3A1,8.76651,-25.32426
N3A2,8.66496,-25.29805
N4A1,9.18718,-25.21799
N4A2,9.4606,-24.89958
N5A1,NA,NA
N5A2,9.13362,-25.09368
N6A1,8.63243,-25.21315
N6A2,NA,NA
N7A1,NA,NA
N7A2,NA,NA
N8A1,8.55583,-25.22588
N8A2,NA,NA
N9A1,9.18528,-25.06691
N9A2,8.67538,-25.13993
N10A1,8.47827,-25.23319
N10A2,9.11616,-24.77227
N11A1,8.73762,-25.09383
N11A2,8.66271,-25.0639
N12A1,9.22286,-25.03474
N12A2,8.43423,-25.22664
N13A1,9.63954,-25.29856
N13A2,9.21292,-24.3613
N17A1,8.93997,-25.36288
N17A2,8.08138,-25.49448
N18A1,8.38404,-25.19837
N18A2,8.90027,-25.11609
N21A1,9.69756,-25.11223
N21A2,9.72764,-25.0102
N22A1,9.66523,-25.0602
N22A2,8.79665,-25.14591
N23A1,9.17847,-25.23061
N23A2,9.15308,-25.03469
N24A1,9.18985,-25.12255
N24A2,8.04787,-25.49523
N25A1,9.41131,-25.04169
N25A2,NA,NA
N26A1,9.68933,-24.4228
N26A2,NA,NA
N27A1,9.50772,-25.03492
N27A2,9.2372,-24.52698
N28A1,9.36392,-25.01745
N28A2,9.49106,-24.10255
N29A1,NA,NA
N29A2,NA,NA
N30A1,9.51784,-25.07683
N30A2,8.87988,-25.18543
N21A1,8.46616,-26.12989
N21A2,8.51362,-26.55602
N22A1,8.19539,-26.17213
N22A2,8.48095,-26.3146
N23A1,8.41837,-26.54718
N23A2,8.35396,-26.27853
N24A1,8.57199,-26.07188
N24A2,8.56674,-25.98843
N25A1,9.07878,-25.88156
N25A2,9.108,-25.89677
N27A1,8.96472,-26.40943
N27A2,8.74802,-26.37809
N28A1,8.58063,-26.21569
N28A2,8.62264,-26.60023
N29A1,8.62623,-26.1165
N29A2,8.85562,-26.09294
N30A1,8.56192,-25.95541
N30A2,8.71078,-25.81012
N32A1,8.47781,-26.07821
N32A2,8.86853,-26.06209
N34A1,7.88863,-26.63085
N34A2,9.29808,-25.23453
N35A1,8.33524,-26.55351
N35A2,8.18658,-26.45978
N36A1,8.70642,-26.15003
N36A2,8.2993,-26.38986
N37A1,8.47257,-26.02002
N37A2,8.3554,-26.44787
N38A1,7.82381,-26.51382
N38A2,9.05736,-25.81513
N39A1,7.69778,-26.5387
N39A2,8.63259,-26.23027
N40A1,7.88494,-26.24837
N40A2,8.90002,-26.46254
N41A1,8.32718,-26.38396
N41A2,9.14863,-26.09635
N42A1,8.57087,-26.22227
N42A2,8.59147,-26.08165
N44A1,9.07826,-26.12417
N44A2,8.36936,-26.11199
N45A1,8.46531,-26.05621
N45A2,8.77018,-25.83352
N46A1,8.01485,-26.695430000000002
N46A2,8.49915,-26.42406
N48A1,8.90723,-26.30037
N48A2,8.48204,-26.57941
N49A1,8.10277,-26.50086
N49A2,8.3945900000000009,-26.01152
N50A1,9.04218,-26.15775
N50A2,8.97025,-26.03679
N47A1,8.84451,-26.28055
N47A2,9.01079,-26.38085
N49A1,9.2151,-26.2253
N49A2,9.51929,-25.69199
N51A1,9.02642,-25.86482
N51A2,8.85699,-25.80208
N53A1,8.77322,-26.48973
N53A2,9.59245,-25.70711
N55A1,9.79532,-25.27385
N55A2,9.31735,-25.45171
N58A1,8.43951,-26.57563
N58A2,8.65466,-26.32909
N60A1,9.02657,-26.06203
N60A2,8.80186,-26.41218
N61A1,8.80967,-26.78958
N61A2,8.91434,-26.42018
N63A1,9.18021,-25.77264
N63A2,9.49645,-26.36678
N64A1,8.96436,-23.90309
N64A2,9.32277,-26.09989
N66A1,9.04296,-26.19444
N66A2,9.11066,-26.42563
N67A1,9.30722,-25.61039
N67A2,9.59462,-25.42621
N69A1,8.81668,-25.95399
N69A2,9.22537,-25.60826
N71A1,8.88098,-25.89741
N71A2,8.52566,-26.0245
N72A1,9.19031,-25.73722
N72A2,9.10702,-26.01363
N73A1,8.9846,-25.57956
N73A2,8.86495,-26.1396
N76A1,8.98705,-25.57647
N76A2,8.56708,-26.49288
N77A1,8.717,-25.77951
N77A2,8.94365,-26.06943
N78A1,8.75984,-25.97696
N78A2,8.95998,-26.32601
N79A1,8.61651,-26.07021
N79A2,9.25769,-25.88798
N80A1,9.2881,-25.54976
N80A2,9.23408,-26.01549
N81A1,8.79787,-26.61075
N81A2,9.05674,-25.79529
N82A1,9.06829,-25.85203
N82A2,9.22033,-26.03442
N83A1,9.11006,-25.79549
N83A2,8.68744,-25.8306
N84A1,8.94332,-25.79189
N84A2,8.97533,-26.03495
N85A1,8.93465,-26.07081
N85A2,8.8964,-26.06967
N31A1,7.993,-25.5139
N31A2,8.14756,-25.39369
N32A1,8.14705,-25.46172
N32A2,8.2554,-25.40075
N33A1,8.2345,-25.54456
N33A2,7.9953,-25.32829
N34A1,8.24515,-25.46782
N34A2,8.22673,-25.4276
N35A1,8.13643,-25.32176
N35A2,8.1631,-25.38017
N36A1,8.19579,-25.3933
N36A2,8.10417,-25.50562
N37A1,7.77672,-25.4168
N37A2,7.8208,-25.48025
N38A1,7.79958,-25.62618
N38A2,8.07137,-25.52473
N39A1,7.63884,-25.52627
N39A2,8.27376,-25.00169
N40A1,7.84057,-25.37899
N40A2,7.96491,-25.39587
N41A1,7.8962,-25.37746
N41A2,7.6322,-25.46569
N42A1,7.90436,-25.3947
N42A2,7.90971,-25.38157
N44A1,7.68528,-25.39181
N44A2,7.83733,-25.42826
N46A1,7.96621,-25.69327
N46A2,7.92358,-25.48383
N47A1,7.6887,-25.50811
N47A2,8.30515,-25.19017
N50A1,NA,NA
N50A2,7.63452,-25.46327
N56A1,7.97408,-25.53768
N56A2,7.76843,-25.6821
N2A1,7.89744,-26.63405
N2A2,8.03659,-26.86127
N4A1,7.96935,-26.70968
N4A2,8.13746,-26.79093
N5A1,8.01979,-26.68311
N5A2,8.14776,-26.84506
N6A1,8.14567,-26.59467
N6A2,8.38324,-26.84272
N7A1,8.37615,-26.72791
N7A2,8.26548,-26.7699
N8A1,8.46894,-26.60436
N8A2,8.27141,-26.7765
N11A1,8.47829,-26.61788
N11A2,8.65803,-26.57585
N12A1,8.45167,-26.89644
N12A2,8.55868,-26.67799
N13A1,8.38289,-26.86352
N13A2,8.39867,-26.79358
N14A1,8.51951,-27.01854
N14A2,8.50153,-26.61414
N15A1,8.48789,-26.83006
N15A2,8.63488,-26.75621
N16A1,8.58319,-26.84415
N16A2,8.63604,-26.7489
N17A1,8.48367,-26.86485
N17A2,8.74647,-26.79846
N18A1,8.65015,-26.79053
N18A2,8.60092,-26.84374
N19A1,8.6287,-26.60484
N19A2,8.49662,-26.84166
N20A1,8.60447,-26.61601
N20A2,8.47067,-26.69166
N51A1,8.24253,-26.8154
N51A2,8.49854,-26.74809
N53A1,8.64931,-26.68867
N53A2,8.63551,-26.74249
N54A1,8.53018,-26.72751
N54A2,8.35078,-26.70783
N55A1,8.24651,-26.66958
N55A2,8.58487,-26.5929
N56A1,8.47938,-26.9547
N56A2,8.5964,-26.71199
N58A1,8.39299,-26.78733
N58A2,8.40327,-26.76821
N60A1,8.24694,-26.65359
N60A2,8.19749,-26.65931
N1A1,8.35802,-26.2766
N1A2,8.28601,-26.27573
N6A1,8.19101,-26.24369
N6A2,8.20042,-26.39677
N8A1,8.11238,-26.20372
N8A2,8.27428,-26.30019
N13A1,8.2346800000000009,-26.18599
N13A2,8.15426,-26.3433
N14A1,8.12691,-26.23613
N14A2,8.27595,-26.11657
N15A1,8.29671,-26.08547
N15A2,8.36701,-25.89834
N18A1,8.15566,-26.22848
N18A2,8.83352,-25.69195
N19A1,8.20106,-26.16524
N19A2,8.27102,-26.11244
N20A1,8.03624,-26.06594
N20A2,7.8881,-26.04726
N21A1,8.16582,-26.13971
N21A2,8.2066,-26.36863
N22A1,8.10231,-26.18763
N22A2,8.3118,-26.35425
N23A1,8.30817,-26.21651
N23A2,8.65914,-25.79203
N24A1,8.25818,-26.23886
N24A2,8.32359,-26.05756
N28A1,8.12311,-26.44815
N28A2,8.41017,-26.33867
N29A1,8.4207,-26.38092
N29A2,8.45738,-26.22664
N32A1,8.24691,-26.18466
N32A2,8.29226,-26.21019
N34A1,8.21634,-26.11046
N34A2,8.78557,-25.76147
N35A1,8.30231,-25.96013
N35A2,8.08354,-26.18161
N36A1,8.04111,-26.18444
N36A2,8.33825,-25.88547
N38A1,7.99184,-26.20538
N38A2,NA,NA
N39A1,8.41151,-26.13832
N39A2,8.30166,-26.04117
N43A1,8.24246,-26.11969
N43A2,8.3639,-26.15531
N61A1,9.03935,-24.30229
N61A2,8.92069,-24.23592
N62A1,9.29078,-24.7557
N62A2,8.64701,-24.62717
N64A1,9.00642,-24.61867
N64A2,8.88942,-24.49433
N66A1,8.85664,-24.55644
N66A2,8.63701,-24.84059
N67A1,8.47173,-24.29229
N67A2,8.79581,-24.36088
N68A1,8.95063,-24.59897
N68A2,8.68747,-24.38751
N69A1,8.72037,-24.80526
N69A2,9.0233,-24.38933
N70A1,9.12277,-24.90024
N70A2,9.8059,-24.7294
N71A1,10.02019,-24.54704
N71A2,9.14382,-24.57994
N72A1,9.32105,-24.64162
N72A2,9.27158,-24.64335
N73A1,9.35138,-24.6879
N73A2,9.42666,-24.26375
N85A1,9.35416,-25.01185
N85A2,9.28153,-24.97134
N89A1,9.74144,-24.59467
N89A2,9.36799,-24.47142
N61A1,8.9399,-23.89017
N61A2,9.63074,-24.34684
N62A1,9.37369,-24.52896
N62A2,9.25177,-24.69638
N63A1,9.08458,-24.54903
N63A2,9.49283,-24.59996
N65A1,9.36668,-24.45195
N65A2,9.23196,-24.17282
N67A1,9.75486,-24.31198
N67A2,9.07825,-25.1455
N69A1,8.83502,-24.65859
N69A2,9.43146,-24.6844
N72A1,9.80589,-24.73735
N72A2,10.02544,-24.90816
N74A1,9.53262,-24.66867
N74A2,9.61734,-24.66188
N75A1,10.02372,-24.86594
N75A2,9.36493,-24.66259
N86A1,9.43684,-24.16566
N86A2,9.45827,-24.35575
N87A1,9.46819,-24.45721
N87A2,9.34089,-24.45189
N88A1,9.6895,-24.43062
N88A2,9.32169,-24.41562
N90A1,9.46929,-24.48403
N90A2,9.43782,-24.36202
N92A1,9.415,-24.805
N92A2,9.93727,-24.59066
N93A1,9.56534,-24.60882
N93A2,9.77528,-24.56481
N94A1,9.62357,-24.78984
N94A2,9.88809,-24.59513
N95A1,9.74492,-24.404
N95A2,9.46985,-24.65786
N96A1,NA,-23.78767
N96A2,9.65061,-24.48153
N98A1,9.2671500000000009,-24.31912
N98A2,9.7046500000000009,-24.53494
N99A1,9.37608,-24.40753
N99A2,9.4618,-24.70615
N100A1,9.98044,-24.68741
N100A2,9.39305,-24.25255
